product_name_ar,product_name_en,store_product_id,product_id,sale_price
1 2 3 ┘ê╪º┘å ╪¬┘ê ╪½╪▒┘è 20 ╪º┘é╪▒╪º╪╡,1 2 3 ONE TWO THREE 20 F.C. TAB,2437679.0,80009.0,40.0
1 2 3 ┘ê╪º┘å ╪¬┘ê ╪½╪▒┘è ╪º┘â╪│╪¬╪▒╪º 20 ╪º┘é╪▒╪º╪╡,1 2 3 ONE TWO THREE EXTRA 20 F.C. TAB,2403271.0,1.0,50.0
1 2 3 ┘ê╪º┘å ╪¬┘ê ╪½╪▒┘è ╪┤╪▒╪º╪¿ 120 ┘à┘ä,1 2 3 ONE TWO THREE SYRUP 120 ML,2094308.0,2.0,32.0
555 ┘â╪▒┘è┘à ╪¡┘ä╪º┘é┘ç ┘ä┘ä╪▒╪¼╪º┘ä ╪¿╪¼┘ê╪▓ ╪º┘ä┘ç┘å╪» 55 ╪¼╪▒╪º┘à,555 COCONUT SHAVING CREAM 55 G FOR MEN,2168540.0,100000.0,25.0
555 ┘â┘ê┘ä┘ê┘å┘è╪º ╪¿╪«╪º╪« 120 ┘à┘ä,555 COLOGNE SPRAY 120 ML,1844459.0,100001.0,62.0
555 ┘â┘ê┘ä┘ê┘å┘è╪º ╪¿╪«╪º╪« 260 ┘à┘ä,555 COLOGNE SPRAY 260 ML,2168732.0,100002.0,90.0
55555 ╪¿┘ê╪»╪▒┘ç ╪¬┘ä┘â 100 ╪¼╪▒╪º┘à ╪¿╪»┘ê┘å ╪▒╪º╪ª╪¡┘ç ╪º╪▓╪▒┘é ╪╡╪║┘è╪▒┘ç,FIVE FIVES BABY TALCUM POWDER 100 GM FRAGRANCE FREE,1430400.0,100006.0,23.0
55555 ╪¿┘ê╪»╪▒┘ç ╪¬┘ä┘â 200 ╪¼╪▒╪º┘à ╪¿╪»┘ê┘å ╪▒╪º╪ª╪¡┘ç ╪º╪▓╪▒┘é ┘â╪¿┘è╪▒┘ç,FIVE FIVES BABY TALCUM POWDER 200 GM FRAGRANCE FREE,1430396.0,100007.0,30.0
55555 ╪¿┘ê╪»╪▒┘ç ╪¬┘ä┘â ╪│┘ê╪¿╪▒ ╪¿╪▒╪º╪ª╪¡┘ç ╪º┘ä┘ê╪▒╪» 100 ╪¼┘à ╪▒┘ê╪▓ ╪╡╪║┘è╪▒┘ç,FIVE FIVES SUPER TALCUM POWDER WITH ROSE FRAG. 100 GM,1656583.0,100004.0,23.0
55555 ╪¿┘ê╪»╪▒┘ç ╪¬┘ä┘â ╪│┘ê╪¿╪▒ ╪¿╪▒╪º╪ª╪¡┘ç ╪º┘ä┘ê╪▒╪» 200 ╪¼┘à ╪▒┘ê╪▓ ┘â╪¿┘è╪▒┘ç,FIVE FIVES SUPER TALCUM POWDER WITH ROSE FRAG. 200 GM,1430399.0,100005.0,35.0
55555 ╪¡┘å┘ç ╪º╪│┘ê╪» 100 ╪¼┘à,FIVE FIVES HENNA 100 GM BLACK,1430397.0,120062.0,23.0
55555 ╪¡┘å┘ç ╪º╪│┘ê╪» 200 ╪¼┘à,FIVE FIVES HENNA 200 GM BLACK,1430398.0,120063.0,40.0
55555 ┘â╪▒┘è┘à ╪¡┘ä╪º┘é┘ç ┘ä┘ä╪▒╪¼╪º┘ä 50 ╪¼┘à,FIVE FIVES SUPER SHAVING CREAM 50 GM,2276361.0,100011.0,28.0
55555 ┘â┘ê┘ä┘ê┘å┘è╪º 200 ┘à┘ä,55555 COLONGE 200 ML,1400135.0,100014.0,54.0
55555 ┘â┘ê┘ä┘ê┘å┘è╪º ╪¿╪«╪º╪« 130 ┘à┘ä ╪╡╪║┘è╪▒┘ç,55555 COLONGE SPRAY 130 ML,1400132.0,100012.0,40.0
55555 ┘â┘ê┘ä┘ê┘å┘è╪º ╪¿╪«╪º╪« 230 ┘à┘ä ┘â╪¿┘è╪▒┘ç,55555 COLONGE SPRAY 230 ML,1400134.0,100013.0,64.0
╪º╪¿╪º┘å╪»╪▒┘ê┘â┘è╪▒ 150 ┘à╪¼┘à 2 ╪º┘é╪▒╪º╪╡,IBANDROCARE 150 MG 2 F.C.TAB,901629.0,7535.0,80.0
╪º╪¿╪¬╪º┘à┘è┘ä ╪º╪»┘ü╪º┘å╪│ 1 ┘ä╪¿┘å 400 ╪¼┘à,APTAMIL 1 ADVANCE MILK 400 GM,1148241.0,1107.0,399.0
╪º╪¿╪¬╪º┘à┘è┘ä ╪¿╪▒┘ê╪│┘è┘å┘è┘ê ┘ä╪¿┘å 400 ╪¼┘à,APTAMIL PROSYNEO MILK 400 GM,2445636.0,73525.0,473.0
╪º╪¿╪¬╪º┘à┘è┘ä ┘â┘ê┘à┘ü┘ê╪▒╪¬ ┘ä╪¿┘å 400 ╪¼┘à,APTAMIL COMFORT MILK 400 GM,1802825.0,73383.0,441.0
╪º╪¿╪¬┘ê┘ü┘ê┘ä 10 / 25 ┘à╪¼┘à 20 ╪º┘é╪▒╪º╪╡,APTOFUL 10 / 25 MG 20 F.C.TAB,2509526.0,133556.0,27.0
╪º╪¿╪¬┘ê┘ü┘ê┘ä 5 / 12.5 ┘à╪¼┘à 20 ╪º┘é╪▒╪º╪╡,APTOFUL 5 / 12.5 MG 20 F.C. TAB,2634552.0,133557.0,22.0
╪º╪¿╪»┘è╪¬ ╪▓┘è╪¬ 60 ┘à┘ä,UPDATE BODY OIL 60 ML,2146796.0,71884.0,225.0
╪º╪¿╪»┘è╪¬ ┘â╪▒┘è┘à ╪¬┘ü╪¬┘è╪¡ ╪¿╪┤╪▒┘ç 50 ╪¼┘à,UPDATE WHITENING CREAM 50 GM,2200599.0,82006.0,130.0
╪º╪¿╪▒╪º╪¬╪▒┘ê╪¿┘è┘ê┘à ┘à┘è┘ä╪º┘å 0.5 ┘à╪¼┘à / 2 ┘à┘ä (┘ä┘ä┘â╪¿╪º╪▒) 10 ╪¼╪▒╪╣╪º╪¬ ╪º┘à╪¿┘ê┘ä,IPRATROPIUM MYLAN 0.5 MG / 2 ML (ADULTS) 10 UNIT DOSE VIAL.,1736375.0,7815.0,80.0
╪º╪¿╪▒╪º┘ü┘å╪¬ ╪º╪│ ╪¿╪«╪º╪« 200 ╪¼╪▒╪╣┘ç,IPRAVENT S AEROSOL FOR INHALATION 200 DOSES,2281828.0,7816.0,94.0
╪º╪¿╪▒┘ê┘ü┘è┘ä 150 ┘à╪¼┘à 14 ╪º┘é╪▒╪º╪╡,APROVEL 150 MG 14 TAB.,2337832.0,1104.0,206.0
╪º╪¿╪▒┘ê┘ü┘è┘ä 150 ┘à╪¼┘à 28 ╪º┘é╪▒╪º╪╡,APROVEL 150 MG 28 TAB,2010292.0,124667.0,206.0
╪º╪¿╪▒┘ê┘ü┘è┘ä 300 ┘à╪¼┘à 14 ╪º┘é╪▒╪º╪╡,APROVEL 300 MG 14 TAB.,1944092.0,1105.0,262.0
╪º╪¿╪▒┘ê┘ü┘è┘ä 300 ┘à╪¼┘à 28 ╪º┘é╪▒╪º╪╡,APROVEL 300 MG 28 TAB,2668829.0,138158.0,262.0
╪º╪¿╪▒┘è┘â┘ê╪▒ ┘â╪▒┘è┘à 30 ╪¼┘à,APRICOR CREAM 30 GM,2498753.0,76996.0,65.0
╪º╪¿╪│┘è ╪»┘è┘å╪¬ ╪¼┘ä,EPSI DENT GEL,1545697.0,82312.0,120.0
╪º╪¿╪│┘è ┘ü┘ä┘ê┘å ┘â╪▒┘è┘à,EPSI FLONE CREAM,1652175.0,82309.0,110.0
╪º╪¿╪│┘è ┘ü┘ä┘è┘â╪│ ╪¼┘ä,EPSI FLEX GEL,1652176.0,82311.0,148.0
╪º╪¿┘ä ┘ä╪º┘è╪¬ 30 ╪º┘é╪▒╪º╪╡,APPLE LITE 30 TABS.,2288827.0,1101.0,45.0
╪º╪¿┘ä┘ê┘å╪¼ ┘å┘ê┘ü╪º┘ä╪¼┘è┘å 500 ┘à╪¼┘à 10 ╪º┘é╪▒╪º╪╡,NOVALGIN OBLONG 500 MG 10 F.C TAB.,1465487.0,10753.0,20.0
╪º╪¿┘è ╪¼╪▒┘ê 10 ╪º┘â┘è╪º╪│,API GROW POWDER 10 SACHETS,2191720.0,1087.0,120.0
