item_code,item_name,decision,correct_product_name,correct_product_name_ar
17155,+***imp PANADOL BLUE TAB,auto_matched,+***imp PANADOL BLUE TAB 03,كييس امبريس اظافر صناعيه IMP 03 C
84773,.CALCIMA 30 PICS,auto_matched,CALCI MASH 30 F.C. TABS.,كالسي ماش 30 اقراص
45413,ABIMOL EXTRA 20 TAB.,auto_matched,ABIMOL EXTRA 20 TAB.,ابيمول اكسترا 20 اقراص
45178,ABIMOL SUPP,approved_match,ABIMOL 300 MG 5 RECTAL SUPP.,ابيمول 300 مجم 5 لبوس
85839,ACHTENON 30 TABS,auto_matched,ACHTENON 30 TABS,اكتينون 2 مجم 30 اقراص
81700,ACIVIRAX 400 MG 30 TAB,auto_matched,ACIVIRAX 400 MG 30 TABS,اسيفيراكس 400 مجم 30 اقراص
79378,ACNIACT GEL 15 GM,auto_matched,ACNIACT TOPICAL GEL 15 GM,اكني اكت جل موضعي 15 جم
81251,ACTI-COLLA ADVANCE 10 SACHET,auto_matched,ACTI COLLA ADVANCE 10 SACHETS,اكتي كولا ادفانس 10 اكياس
81013,ACTI-COLLA C 30SACHETS,auto_matched,ACTI COLLA C 30 SACHETS,اكتي كولا سي 30 اكياس
91980,ACTI-MASS MASSAGE CREAM 50GM,auto_matched,ACTI MASS MASSAGE CREAM 50 GM,اكتي ماس مساج كريم 50 جم
58283,ACTIVE HAIR OIL 120 ML,auto_matched,ACTIVE HAIR OIL 120 ML,اكتيف هير زيت 120 مل
58284,ACTIVE SHAMPOO 250 ML,auto_matched,ACTIVE HAIR SHAMPOO 250 ML,اكتيف هير شامبو 250 مل
25153,ACTRAPID HM 100 I.U./ML 10 ML VIAL,auto_matched,ACTRAPID HM 100 I.U. / ML 10 ML VIAL,اكترابيد 100 وحده / 10 مل امبول
74896,ACYCLOVIR 10 GM CREAM,auto_matched,ACYCLOVIR 5 % TOPICAL CREAM 10 GM,اسيكلوفير 5 % كريم 10 جم مصر
74041,ACYCLOVIR 400 MG 35 TAB,auto_matched,ACYCLOVIR 400 STADA 35 TAB.,اسيكلوفير 400 ستادا 35 اقراص
29154,ADAPALENE GEL 30 GM,auto_matched,ADAPALENE GEL 30 GM,ادابالين 0.1 % جل 30 جم
ADW,ADWIFLAM 6 AMP,approved_match,ADWIFLAM 75 MG / 3 ML 6 AMP.,ادويفلام 75 مجم / 3 مل 6 امبول
adw,ADWIFLAM 6 AMP,approved_match,,
87033,AFROMED 30 CAPS,auto_matched,AFROMED 30 CAPS.,افروميد 30 قرص
63136,AGGREX 75 MG 60 TAB,auto_matched,AGGREX 75 MG 60 TABS.,اجريكس 75 مجم 60 اقراص
12522,AGIOLAX 12 SACHETS,auto_matched,AGIOLAX 12 GRANULES IN SACHETS,اجيولاكس 12 اكياس
78296,AIG ESOMEPRAZOLE 40MG 21-CAP,auto_matched,AIG ESOMEPRAZOLE 40 MG 21 CAPS.,ايه اي جي ايزوميبرازول 40 مجم 28 كبسول
91457,ALBUNORM 20% I.V.INFUSION,auto_matched,ALBUNORM 20 % I.V.INFUSION,هيومان البومين 50 مل
62068,ALBUSTIX 8 MG 30 TAB,auto_matched,ALBUSTIX 8 MG 30 TAB.,البوستكس 8 مجم 30 اقراص
18109,ALDOMET 250 MG30 TAB,auto_matched,ALDOMET 250 MG 30 TAB,الدوميت 250 مجم 30 اقراص
88397,ALEXOLYTE 360ML BANANA FLAVOR,auto_matched,ALEXOLYTE (ORS) SYRUP 360 ML BANANA,اليكسولايت شراب جفاف 360 مل موز
83144,ALEXOLYTE 360ML ORANGE FLAVOR SYRUP,auto_matched,ALEXOLYTE (ORS) SYRUP 360 ML ORANGE,اليكسولايت شراب جفاف 360 مل برتقال
83145,ALEXOLYTE 360ML PINEAPPLE FLAVOR,auto_matched,ALEXOLYTE (ORS) SYRUP 360 ML PINEAPPLE,اليكسولايت شراب جفاف 360 مل اناناس
86358,ALEXOLYTE 360ML STRAWBERRY FLAVOR,auto_matched,ALEXOLYTE (ORS) SYRUP 360 ML STRAWBERRY,اليكسولايت شراب جفاف 360 مل فراوله
77044,ALFACALCIDOL 2MCG/ML 10 ML DROPS,auto_matched,ALFACALCIDOL 2 MCG / ML ORAL DPS. 10 ML,الفاكالسيدول 10 مل قطره
74143,ALFACARENO 2MCG/ML ORAL DROPS. 10 ML,auto_matched,ALFACARENO 2 MCG / ML ORAL DROPS. 10 ML,الفاكارينو 2 مكجم / مل قطره 10 مل
89714,ALFATHROMB 5 MCG 20 TABS.,auto_matched,ALFATHROMB 5 MCG 20 TABS,الفاثرومب 5 مكجم 20 اقراص
18992,ALGASON CREAM 40 GM,auto_matched,ALGASON CREAM 40 GM,الجازون كريم 40 جم
73232,ALL- VENT SYRUP 125 ML,auto_matched,ALL VENT SYRUP 125 ML,اولفنت شراب 125 مل
66026,ALLERDEP NASAL SPRAY 60ML,auto_matched,ALLERDEP NASAL SPRAY 60 ML,الليرديب بخاخ الانف 60 مل
81200,ALLERGICASONE NASAL SPRAY,auto_matched,ALLERGICASONE 125 / 50 MCG NASAL SPRAY 140 ACTUATIONS,الليرجيكازون 125 / 50 مكجم بخاخ 140 جرعه
84635,ALVERINSPASM 24 CAPS,auto_matched,ALVERINSPASM 24 S.G.CAPS,الفيرينسبازم 24 كبسول
58927,ALZMENDA 10 MG 21 TAB,auto_matched,ALZMENDA 10 MG 21 F.C.TAB,الزمندا 10 مجم 21 اقراص
58142,AMARYL 1 MG 30 TAB,auto_matched,AMARYL 1 MG 30 TABS.,اماريل 1 مجم 30 اقراص
73363,AMEBAZOLE 1 GM 2 TAB,auto_matched,AMEBAZOL 1 GM 2 F.C. TABS.,اميبازول 1 جم 2 اقراص
85683,AMINORENOCARE 100TABS,auto_matched,AMINORENOCARE 100 TABS,امينورينوكير 100 اقراص
86381,AMIPRIDE 50 MG 30 TABS,auto_matched,AMIPRIDE 50 MG 30 TAB.,اميبريد 50 مجم 30 اقراص
61862,AMLODIPINE 5MG 30 TAB,auto_matched,AMLODIPINE 5 MG 30 TAB.,املوديبين 5 مجم 30 اقراص
81060,AMLOSAZIEDE 10/25/40 MG 30 TAB,auto_matched,AMLOSAZIDE 10 / 25 / 40 MG 30 F.C. TABS.,املوسازيد 10 / 25 / 40 مجم 30 اقراص
83369,AMPIAVA 750MG 30TABLETS,auto_matched,AMPIAVA 750 MG 30 F.C.TABS,امبيافا 750 مجم 30 اقراص
4985,AMRIZOLE 500 MG 20 TAB,auto_matched,AMRIZOLE 500 MG 20 TABS.,امريزول 500 مجم 20 اقراص
16763,AMRIZOLE N SUPP,approved_match,AMRIZOLE N 5 VAG. SUPP.,امريزول ان 5 لبوس
83816,ANA SYLLIUM 30 SACHETS,auto_matched,ANA SYLLIUM 30 SACHETS,اناسيليوم 30 اكياس
81294,ANASTRAZOL SANDOZ 1MG 30TAB,auto_matched,ANASTROZOL SANDOZ 1 MG 30 F.C. TAB.,اناستروزول 1 مجم ساندوز
85262,ANASTROZOL SYNTHON 1 MG 28 TABS,auto_matched,ANASTROZOL SYNTHON 1 MG 28 F.C. TAB.,اناستروزول سينثون 1 مجم 28 اقراص
81590,ANDOCEPTIVE 30/75 MG 21 TAB,auto_matched,ANDOCEPTIVE 30 / 75 MCG 21 COATED TAB.,اندوسبتيف 30 / 75 مجم 21 اقراص
91691,ANDOFLOZIN XR 25MG*100 MG,auto_matched,ANDOFLOZIN XR 25 / 1000 MG 20 F.C. TABS,اندوفلوزين اكس ار 25 / 1000 مجم 20 اقراص
88158,ANDOVIT IRON PLUS 100 ML SYRUP,auto_matched,ANDOVIT IRON PLUS SUSP. 100 ML,اندوفيت ايرون بلس شراب 100 مل
87786,ANDOVIT NEURO 20 F.C. TABS,auto_matched,ANDOVIT NEURO 20 F.C. TABS.,اندوفيت نيورو 20 اقراص
87088,ANORO ELLIPTA 62.5/25,auto_matched,ANORO ELLIPTA 62.5 / 25 MCG INHALER 30 METERED DOSES,انورو اليبيتا جهاز الاستنشاق 62.5 / 25 ميكرو 30 جرعه مقننه
73905,ANTI-COX II 15MG 6 AMP,auto_matched,ANTI COX II 15 MG / 3 ML 6 AMP.,انتي كوكس 15 مجم / 3 مل 6 امبول
74255,ANTIFLU 20 CAP,auto_matched,ANTIFLU 20 CAP.,انتي فلو 20 كبسول
74696,ANTODINE 20 MG 3 AMP,approved_match,ANTODINE 20 MG / 2 ML 3 I.M. OR I.V. AMP,انتودين 20 مجم / 2 مل 3 امبول
73423,ANTODINE 20 MG 30 TAB,auto_matched,ANTODINE 20 MG 30 F.C.TAB.,انتودين 20 مجم 30 اقراص
89426,ANTODINE 6 AMPOULES * 2 ML,approved_match,ANTODINE 20 MG / 2 ML 6 I.M. OR I.V. AMP,انتودين 20 مجم / 2 مل 6 امبول
73857,ANTOPRAL 40 MG 14 TAB,auto_matched,ANTOPRAL 40 MG 14 TAB.,انتوبرال 40 مجم 14 اقراص
18573,ANTOX 30 TAB,auto_matched,ANTOX 30 TABS,انتوكس 30 اقراص
73246,APIDRA 5 CARTRIDGES,auto_matched,APIDRA 100 I.U. / ML 5 CARTIRIDGES,ابيدرا 100 وحده / مل 5 خرطوشات
90840,APTAMIL 2 ADVANCE PREMIUM+ MILK 400 GM,approved_match,APTAMIL 2 ADVANCE MILK 400 GM,ابتاميل ادفانس 2 لبن 400 جم
32040,APTAMIL COMFORT MILK 400 GM,auto_matched,APTAMIL COMFORT MILK 400 GM,ابتاميل كومفورت لبن 400 جم
